"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"beta0",-1.61986828593333,-1.617595,-1.58073112105845,419.5,0.95,-2.18468,-1.10232,NA,NA,NA,NA,NA,NA,NA
"beta[1]",0.3202618437,0.3204645,0.318456243365204,13224,0.95,0.19945,0.445458,NA,NA,NA,NA,NA,NA,NA
"beta[2]",1.4881585166,1.48245,1.40386239408378,391.4,0.95,0.852549,2.08642,NA,NA,NA,NA,NA,NA,NA
"beta[3]",-5.313442994,-5.316815,-5.40102850259389,378.3,0.95,-6.19796,-4.41024,NA,NA,NA,NA,NA,NA,NA
"beta[4]",2.18230612266667,2.184055,2.35941309775482,349.5,0.95,1.11158,3.2213,NA,NA,NA,NA,NA,NA,NA
"zbeta0",-3.78689441066667,-3.78505,-3.78882346286426,1384.2,0.95,-3.90436,-3.66734,NA,NA,NA,NA,NA,NA,NA
"zbeta[1]",0.12362354886,0.1237015,0.122926643365108,13224,0.95,0.0769891,0.17195,NA,NA,NA,NA,NA,NA,NA
"zbeta[2]",0.597831364,0.5955375,0.563968716652422,391.4,0.95,0.342491,0.838169,NA,NA,NA,NA,NA,NA,NA
"zbeta[3]",-0.8211462422,-0.8216675,-0.834684370668757,378.3,0.95,-0.95784,-0.681564,NA,NA,NA,NA,NA,NA,NA
"zbeta[4]",0.5663711398,0.566825,0.612337176382885,349.5,0.95,0.288487,0.83602,NA,NA,NA,NA,NA,NA,NA
"zbeta[5]",0.37220625763816,0.382691,0.547486696180213,15000,0.95,-3.63325,4.22682,NA,NA,NA,NA,NA,NA,NA
"zbeta[6]",-0.538199988805747,-0.5328555,-0.427346180528522,15000,0.95,-4.56825,3.26743,NA,NA,NA,NA,NA,NA,NA
"zbeta[7]",-0.3739412070924,-0.3445285,-0.140526576271444,15000,0.95,-4.36777,3.37883,NA,NA,NA,NA,NA,NA,NA
"zbeta[8]",1.01388681750981,1.025055,1.16565098509317,15000,0.95,-2.88996,4.87887,NA,NA,NA,NA,NA,NA,NA
"delta0",1,1,0.9992278092193,0,0.95,1,1,NA,NA,NA,NA,NA,NA,NA
"delta[1]",1,1,0.9992278092193,0,0.95,1,1,NA,NA,NA,NA,NA,NA,NA
"delta[2]",1,1,0.9992278092193,0,0.95,1,1,NA,NA,NA,NA,NA,NA,NA
"delta[3]",1,1,0.9992278092193,0,0.95,1,1,NA,NA,NA,NA,NA,NA,NA
"delta[4]",1,1,0.9992278092193,0,0.95,1,1,NA,NA,NA,NA,NA,NA,NA
"delta[5]",0.900933333333333,1,0.999389039538233,15000,0.95,0,1,NA,NA,NA,NA,NA,NA,NA
"delta[6]",0.898066666666667,1,1.00060386295521,15824.3,0.95,0,1,NA,NA,NA,NA,NA,NA,NA
"delta[7]",0.901933333333333,1,1.00137579927093,15000,0.95,0,1,NA,NA,NA,NA,NA,NA,NA
"delta[8]",0.896333333333333,1,0.998899139531738,15000,0.95,0,1,NA,NA,NA,NA,NA,NA,NA
"guess",0.00192695119685167,0.001429215,0.000367340870275627,4235.7,0.95,1.43318e-07,0.00547889,NA,NA,NA,NA,NA,NA,NA
