"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"beta0",-4.04195761133333,-4.04142,-4.03056225893883,4918.8,0.95,-4.27323,-3.80674,NA,NA,NA,NA,NA,NA,NA
"beta[1]",0.476661925133333,0.4776115,0.484350701728975,12730.2,0.95,0.351122,0.5969,NA,NA,NA,NA,NA,NA,NA
"beta[2]",-0.008119485668,-0.008114165,-0.00811024174164464,4900.5,0.95,-0.0092122,-0.00700696,NA,NA,NA,NA,NA,NA,NA
"beta[3]",2.78183352733333,2.781475,2.78169385804651,3872.1,0.95,2.56772,2.98983,NA,NA,NA,NA,NA,NA,NA
"zbeta0",-3.749275868,-3.74724,-3.73780744760934,2962.9,0.95,-3.8613,-3.6377,NA,NA,NA,NA,NA,NA,NA
"zbeta[1]",0.183995181913333,0.184362,0.186963244278345,12730.2,0.95,0.135536,0.230408,NA,NA,NA,NA,NA,NA,NA
"zbeta[2]",-0.738888271533333,-0.7384045,-0.738046720032183,4900.5,0.95,-0.838327,-0.637646,NA,NA,NA,NA,NA,NA,NA
"zbeta[3]",1.1175337274,1.11739,1.11747885472613,3872.1,0.95,1.03152,1.20109,NA,NA,NA,NA,NA,NA,NA
"zbeta[4]",0.353002542715533,0.353505,0.488306129934703,15000,0.95,-3.62039,4.27046,NA,NA,NA,NA,NA,NA,NA
"zbeta[5]",-0.5140119229274,-0.536374,-0.470463906981504,15000,0.95,-4.57781,3.33214,NA,NA,NA,NA,NA,NA,NA
"zbeta[6]",-0.359603793944053,-0.3682805,-0.226870524632243,15603.7,0.95,-4.2572,3.65628,NA,NA,NA,NA,NA,NA,NA
"zbeta[7]",1.01487853929363,0.9882955,0.788402501098008,15000,0.95,-2.92631,4.87294,NA,NA,NA,NA,NA,NA,NA
"zbeta[8]",1.02117751897947,1.000905,0.762095956663844,15000,0.95,-2.90557,4.91575,NA,NA,NA,NA,NA,NA,NA
"delta0",1,1,0.9992278092193,0,0.95,1,1,NA,NA,NA,NA,NA,NA,NA
"delta[1]",1,1,0.9992278092193,0,0.95,1,1,NA,NA,NA,NA,NA,NA,NA
"delta[2]",1,1,0.9992278092193,0,0.95,1,1,NA,NA,NA,NA,NA,NA,NA
"delta[3]",1,1,0.9992278092193,0,0.95,1,1,NA,NA,NA,NA,NA,NA,NA
"delta[4]",0.9036,1,1.00064969497804,15000,0.95,0,1,NA,NA,NA,NA,NA,NA,NA
"delta[5]",0.905266666666667,1,0.999914933421393,15000,0.95,0,1,NA,NA,NA,NA,NA,NA,NA
"delta[6]",0.898866666666667,1,1.00026726082388,15000,0.95,0,1,NA,NA,NA,NA,NA,NA,NA
"delta[7]",0.897133333333333,1,1.00099423822045,15000,0.95,0,1,NA,NA,NA,NA,NA,NA,NA
"delta[8]",0.903466666666667,1,1.00070809925388,15000,0.95,0,1,NA,NA,NA,NA,NA,NA,NA
"guess",0.00315155474301273,0.002497675,0.000686349931925863,4861.5,0.95,2.63044e-07,0.00824121,NA,NA,NA,NA,NA,NA,NA
