"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"beta0",-7.21801123104673,-6.3777,-4.39508224640417,4242.8,0.95,-20.1562,3.18682,NA,NA,NA,NA,NA,NA,NA
"beta[1]",0.514285668133333,0.508791,0.495184522897232,2125.8,0.95,0.363625,0.688541,NA,NA,NA,NA,NA,NA,NA
"beta[2]",2.53448200994327,0.3446735,0.238500143032834,4024.1,0.95,-9.54808,18.3586,NA,NA,NA,NA,NA,NA,NA
"beta[3]",-0.008062505384,-0.00805181,-0.00800053043180833,4668.4,0.95,-0.00916364,-0.00695741,NA,NA,NA,NA,NA,NA,NA
"beta[4]",0.746917740202827,0.273409,0.0292305620236473,9527.5,0.95,-2.45804,4.38574,NA,NA,NA,NA,NA,NA,NA
"beta[5]",2.77827932533333,2.776775,2.77431798142127,3601.3,0.95,2.56347,2.99582,NA,NA,NA,NA,NA,NA,NA
"zbeta0",-3.748396102,-3.746285,-3.7408964528327,2950.6,0.95,-3.86115,-3.63432,NA,NA,NA,NA,NA,NA,NA
"zbeta[1]",0.19851823972,0.196397,0.191144699667563,2125.8,0.95,0.140362,0.265782,NA,NA,NA,NA,NA,NA,NA
"zbeta[2]",0.61702502354264,0.0839115,0.0580646890120065,4024.1,0.95,-2.3245,4.46944,NA,NA,NA,NA,NA,NA,NA
"zbeta[3]",-0.7337029566,-0.73273,-0.728061308786864,4668.4,0.95,-0.833908,-0.633137,NA,NA,NA,NA,NA,NA,NA
"zbeta[4]",0.791124806414347,0.289591,0.0309593320434729,9527.5,0.95,-2.60353,4.64531,NA,NA,NA,NA,NA,NA,NA
"zbeta[5]",1.11610592146667,1.1155,1.11451578583476,3601.3,0.95,1.02981,1.2035,NA,NA,NA,NA,NA,NA,NA
"zbeta[6]",-0.506993184806113,-0.496293,-0.304826207340012,15000,0.95,-4.44696,3.42406,NA,NA,NA,NA,NA,NA,NA
"zbeta[7]",-0.3807130857032,-0.3640585,-0.100193761889868,15429.5,0.95,-4.26121,3.46828,NA,NA,NA,NA,NA,NA,NA
"delta0",1,1,0.9992278092193,0,0.95,1,1,NA,NA,NA,NA,NA,NA,NA
"delta[1]",1,1,0.9992278092193,0,0.95,1,1,NA,NA,NA,NA,NA,NA,NA
"delta[2]",0.4122,0,-0.00131688238456951,799.6,0.95,0,1,NA,NA,NA,NA,NA,NA,NA
"delta[3]",1,1,0.9992278092193,0,0.95,1,1,NA,NA,NA,NA,NA,NA,NA
"delta[4]",0.2108,0,-0.000562312369656648,1322.9,0.95,0,1,NA,NA,NA,NA,NA,NA,NA
"delta[5]",1,1,0.9992278092193,0,0.95,1,1,NA,NA,NA,NA,NA,NA,NA
"delta[6]",0.0983333333333333,0,-0.00149118580124696,15000,0.95,0,1,NA,NA,NA,NA,NA,NA,NA
"delta[7]",0.0986666666666667,0,0.000782403038268847,15611.4,0.95,0,1,NA,NA,NA,NA,NA,NA,NA
"guess",0.00311140999521115,0.002459505,0.000701017006748068,5244.2,0.95,5.66613e-08,0.00823037,NA,NA,NA,NA,NA,NA,NA
